ID,Sexo,Idade,Altura,Duração,Distância,Batimento_Cardíaco,Temperatura_Corporal
14733363,masculino,68,190.0,94.0,29.0,105.0,40.8
14861698,feminino,20,166.0,60.0,14.0,94.0,40.3
11179863,masculino,69,179.0,79.0,5.0,88.0,38.7
16180408,feminino,34,179.0,71.0,13.0,100.0,40.5
17771927,feminino,27,154.0,58.0,10.0,81.0,39.8
15130815,feminino,36,151.0,50.0,23.0,96.0,40.7
19602372,feminino,33,158.0,56.0,22.0,95.0,40.5
11117088,masculino,41,175.0,85.0,25.0,100.0,40.7
12132339,masculino,60,186.0,94.0,21.0,97.0,40.4
17964668,feminino,26,146.0,51.0,16.0,90.0,40.2
13723164,feminino,36,177.0,76.0,1.0,74.0,37.8
13681290,feminino,21,157.0,56.0,17.0,100.0,40.0
15566424,mamasculinole,66,171.0,79.0,11.0,90.0,40.0
12891699,feminino,32,157.0,54.0,18.0,93.0,40.4
13823829,masculino,53,182.0,85.0,2.0,82.0,38.1
17557348,feminino,39,156.0,62.0,28.0,104.0,40.8
